                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3829,                 3.6059,                  1.482,                0.70473,                0.21213,                0.23152,                 0.1542,                 1.2032,                 2.2446,                 1.3508,             0.00011326,             0.00011326,             0.00011326
                      2,                 1.2599,                 2.0078,                 1.3515,                0.60952,                0.34502,                0.36373,                0.23649,                 1.2388,                 1.8073,                 1.3556,             0.00022713,             0.00022713,             0.00022713
                      3,                 1.2347,                 1.6824,                 1.3001,                0.53799,                0.32837,                0.37003,                0.21829,                 1.2859,                 1.6199,                 1.4186,             0.00033988,             0.00033988,             0.00033988
                      4,                 1.2329,                 1.6075,                 1.2877,                0.58464,                0.38068,                0.41014,                 0.2478,                 1.2781,                 1.5296,                 1.3692,              0.0003399,              0.0003399,              0.0003399
                      5,                 1.2248,                 1.4729,                 1.2891,                0.54492,                0.42075,                0.44064,                0.27965,                 1.2521,                 1.3904,                 1.3678,              0.0003399,              0.0003399,              0.0003399
                      6,                 1.2021,                  1.436,                 1.2558,                0.64724,                0.34592,                0.41442,                0.27016,                 1.2138,                 1.3688,                 1.3427,              0.0003382,              0.0003382,              0.0003382
                      7,                  1.164,                 1.3439,                 1.2678,                0.64424,                0.38948,                0.41113,                0.25592,                 1.2766,                 1.2937,                  1.366,              0.0003365,              0.0003365,              0.0003365
                      8,                 1.1881,                 1.3051,                 1.2608,                0.59502,                 0.4255,                 0.4281,                0.24779,                 1.2423,                 1.3285,                 1.3414,              0.0003348,              0.0003348,              0.0003348
                      9,                  1.124,                   1.22,                 1.2188,                0.62716,                0.38428,                0.43884,                0.27109,                 1.2455,                  1.235,                  1.363,             0.00033311,             0.00033311,             0.00033311
                     10,                 1.1276,                 1.1994,                 1.2198,                0.61064,                0.44683,                0.47153,                0.28813,                 1.2075,                 1.2186,                 1.3314,             0.00033141,             0.00033141,             0.00033141
                     11,                  1.118,                 1.1637,                 1.2204,                0.68814,                0.43439,                0.50075,                0.31241,                  1.238,                 1.1565,                   1.33,             0.00032971,             0.00032971,             0.00032971
                     12,                 1.1164,                 1.1305,                  1.214,                0.72575,                0.38067,                0.47837,                0.29372,                 1.2982,                 1.2039,                 1.3846,             0.00032801,             0.00032801,             0.00032801
                     13,                 1.0942,                 1.0984,                 1.1986,                0.58294,                0.49357,                0.53266,                0.32644,                 1.2376,                 1.1511,                 1.3543,             0.00032631,             0.00032631,             0.00032631
                     14,                 1.0879,                 1.0805,                 1.1927,                0.69143,                0.49769,                0.53125,                0.33374,                 1.2135,                 1.1284,                  1.328,             0.00032461,             0.00032461,             0.00032461
                     15,                 1.0611,                 1.0241,                 1.1831,                0.74937,                0.48016,                0.54711,                0.37567,                 1.1952,                 1.0958,                 1.3114,             0.00032291,             0.00032291,             0.00032291
                     16,                 1.0677,                 1.0139,                 1.1895,                0.81512,                0.44699,                0.51633,                0.36002,                 1.2192,                 1.0714,                 1.3289,             0.00032121,             0.00032121,             0.00032121
                     17,                 1.0348,                 1.0028,                 1.1662,                0.77801,                0.44069,                 0.5288,                0.35143,                 1.2058,                 1.1086,                 1.3021,             0.00031951,             0.00031951,             0.00031951
                     18,                 1.0415,                0.95962,                 1.1607,                0.73937,                0.47703,                 0.5643,                0.37308,                 1.1741,                 1.0724,                 1.2936,             0.00031781,             0.00031781,             0.00031781
                     19,                 1.0186,                0.97329,                 1.1684,                0.56339,                0.49918,                0.57209,                0.36571,                 1.2093,                 1.0842,                 1.3252,             0.00031611,             0.00031611,             0.00031611
                     20,                 1.0257,                0.96916,                 1.1589,                0.68537,                0.49011,                0.54588,                0.37255,                 1.2336,                  1.067,                 1.3618,             0.00031441,             0.00031441,             0.00031441
                     21,                 1.0185,                0.93887,                 1.1446,                0.50501,                0.53591,                0.50245,                0.33853,                 1.2068,                 1.0644,                 1.3149,             0.00031271,             0.00031271,             0.00031271
                     22,                0.99155,                0.90446,                  1.134,                0.65675,                0.48859,                0.52538,                0.32658,                 1.2369,                 1.0765,                 1.3347,             0.00031101,             0.00031101,             0.00031101
                     23,                 1.0004,                0.89452,                 1.1294,                0.63392,                0.48906,                0.52361,                0.35233,                 1.2118,                 1.0277,                  1.304,             0.00030932,             0.00030932,             0.00030932
                     24,                0.98636,                0.88605,                 1.1322,                0.65413,                0.51534,                0.58333,                0.39306,                 1.2075,                 1.0352,                 1.3117,             0.00030762,             0.00030762,             0.00030762
                     25,                 0.9796,                0.86938,                 1.1168,                0.68309,                 0.4968,                0.54731,                0.36567,                 1.2169,                 1.0595,                 1.3231,             0.00030592,             0.00030592,             0.00030592
                     26,                0.95615,                0.83639,                 1.1192,                 0.6486,                 0.4921,                 0.5688,                0.36876,                 1.1904,                 1.0838,                 1.2819,             0.00030422,             0.00030422,             0.00030422
                     27,                0.94842,                0.84308,                 1.1204,                0.61693,                0.53065,                0.54922,                0.37391,                 1.2274,                 1.0899,                 1.3322,             0.00030252,             0.00030252,             0.00030252
                     28,                0.96492,                0.82254,                   1.11,                0.73697,                0.48114,                0.57841,                0.38782,                  1.226,                 1.0439,                  1.341,             0.00030082,             0.00030082,             0.00030082
                     29,                0.94606,                0.81207,                 1.1087,                 0.6814,                0.48839,                0.57389,                0.38986,                 1.2039,                 1.0093,                 1.3176,             0.00029912,             0.00029912,             0.00029912
                     30,                0.93845,                 0.8126,                 1.1109,                0.68835,                0.49914,                0.53429,                0.35202,                 1.2139,                 1.0545,                 1.3462,             0.00029742,             0.00029742,             0.00029742
                     31,                0.92349,                0.77709,                 1.0834,                0.65099,                0.48242,                0.55108,                0.37391,                 1.2169,                 1.0543,                 1.3278,             0.00029572,             0.00029572,             0.00029572
                     32,                0.93568,                0.80346,                 1.1075,                0.72727,                0.47936,                0.54818,                0.37027,                 1.1528,                 1.0475,                 1.2709,             0.00029402,             0.00029402,             0.00029402
